UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
gdm       1429  1322  1429  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1429  1322  1446  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1429  1322  1447  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1429  1322  1448  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1429  1322  1449  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1429  1322  1454  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1429  1322  1455  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1429  1322  1456  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1429  1322  1457  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1429  1322  1458  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1429  1322  1459  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1429  1322  1460  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1429  1322  1461  0   13 out07 tty1     00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1464  1260  1464  0    4 out07 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm       1464  1260  1465  0    4 out07 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm       1464  1260  1466  0    4 out07 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm       1464  1260  1468  0    4 out07 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm       1469  1464  1469  0    1 out07 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm       1471  1260  1471  0    3 out07 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm       1471  1260  1472  0    3 out07 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm       1471  1260  1473  0    3 out07 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm       1480  1260  1480  0    4 out07 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no
gdm       1480  1260  1486  0    4 out07 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no
gdm       1480  1260  1487  0    4 out07 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no
gdm       1480  1260  1491  0    4 out07 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no
rtkit     1481     1  1481  0    3 out07 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1481     1  1482  0    3 out07 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1481     1  1483  0    3 out07 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
gdm       1488  1480  1488  0    1 out07 ?        00:00:00 /usr/lib/x86_64-linux-gnu/pulse/gconf-helper
gdm       1490  1260  1490  0    1 out07 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
root      1501  1173  1501  0   15 out07 ?        00:00:01 containerd --config /var/snap/docker/471/run/docker/containerd/containerd.toml --log-level error
root      1501  1173  1552  0   15 out07 ?        00:00:20 containerd --config /var/snap/docker/471/run/docker/containerd/containerd.toml --log-level error
root      1501  1173  1553  0   15 out07 ?        00:00:10 containerd --config /var/snap/docker/471/run/docker/containerd/containerd.toml --log-level error
root      1501  1173  1554  0   15 out07 ?        00:00:00 containerd --config /var/snap/docker/471/run/docker/containerd/containerd.toml --log-level error
root      1501  1173  1555  0   15 out07 ?        00:00:00 containerd --config /var/snap/docker/471/run/docker/containerd/containerd.toml --log-level error
root      1501  1173  1580  0   15 out07 ?        00:00:10 containerd --config /var/snap/docker/471/run/docker/containerd/containerd.toml --log-level error
